No;Author
2016; Nallapati R, 2007, KDD-2007 PROCEEDINGS OF THE T, P520 2 13  
2029; Shiga M, 2007, KDD-2007 PROCEEDINGS OF THE T, P647 4 37  
2033; Sun JM, 2007, KDD-2007 PROCEEDINGS OF THE T, P687 12 170  
2036; Tantipathananandh C, 2007, KDD-2007 PROCEEDINGS OF THE T, P717 2 69  
2038; Tong HH, 2007, KDD-2007 PROCEEDINGS OF THE T, P737 5 47  
2039; Tong HH, 2007, KDD-2007 PROCEEDINGS OF THE T, P747 3 22  
2041; Vreeken J, 2007, KDD-2007 PROCEEDINGS OF THE T, P765 2 11  
2043; Wang XH, 2007, KDD-2007 PROCEEDINGS OF THE T, P784 2 49  
2046; Wu JJ, 2007, KDD-2007 PROCEEDINGS OF THE T, P814 3 17  
2047; Xu XW, 2007, KDD-2007 PROCEEDINGS OF THE T, P824 6 274  
2049; Yankov D, 2007, KDD-2007 PROCEEDINGS OF THE T, P844 5 45  
2060; Hua M, 2007, KDD-2007 PROCEEDINGS OF THE T, P950 2 7  
2061; Kohavi R, 2007, KDD-2007 PROCEEDINGS OF THE T, P959 5 62  
2062; Luo P, 2007, KDD-2007 PROCEEDINGS OF THE T, P968 3 28  
2065; Zhao SB, 2007, KDD-2007 PROCEEDINGS OF THE T, P995 3 5  
2074; Yin XX, 2007, KDD-2007 PROCEEDINGS OF THE T, P1048 4 28  
2109; Bifet A, 2007, PROCEEDINGS OF THE SEVENTH SI, P443 5 171  
2110; Bu YY, 2007, PROCEEDINGS OF THE SEVENTH SI, P449 2 16  
2122; Leskovec J, 2007, PROCEEDINGS OF THE SEVENTH SI, P551 2 104  
2131; Keogh E, 2007, DATA MIN KNOWL DISC, V14, P99 2 31  
2143; Chui CK, 2008, LECT NOTES ARTIF INT, V5012, P64 5 38  
2150; Hido S, 2008, LECT NOTES ARTIF INT, V5012, P148 2 16  
2157; Minato S, 2008, LECT NOTES ARTIF INT, V5012, P234 2 14  
2180; Christen P, 2008, LECT NOTES ARTIF INT, V5012, P511 2 10  
2196; Leung CKS, 2008, LECT NOTES ARTIF INT, V5012, P653 4 69  
2219; Bringmann B, 2008, LECT NOTES ARTIF INT, V5012, P858 5 49  
2243; Tanbeer SK, 2008, LECT NOTES ARTIF INT, V5012, P1022 2 19  
2260; Punera K, 2008, APPL ARTIF INTELL, V22, P780 2 32  
2263; AlSumait L, 2008, IEEE DATA MINING, P3 4 132  
2269; Cai D, 2008, IEEE DATA MINING, P63 8 157  
2272; Chaoji V, 2008, IEEE DATA MINING, P93 2 13  
2281; Ding C, 2008, IEEE DATA MINING, P183 5 50  
2288; Hu YF, 2008, IEEE DATA MINING, P263 36 551  
2292; Inokuchi A, 2008, IEEE DATA MINING, P303 2 12  
2298; Kolda TG, 2008, IEEE DATA MINING, P363 5 99  
2302; Liu FT, 2008, IEEE DATA MINING, P413 10 111  
2311; Pan R, 2008, IEEE DATA MINING, P502 16 236  
2312; Papadimitriou S, 2008, IEEE DATA MINING, P512 4 76  
2314; Shan HH, 2008, IEEE DATA MINING, P530 2 50  
2315; Sharan U, 2008, IEEE DATA MINING, P540 2 16  
2328; Yin J, 2008, IEEE DATA MINING, P678 2 11  
2329; Zhang ML, 2008, IEEE DATA MINING, P688 2 45  
2330; Akoglu L, 2008, IEEE DATA MINING, P701 2 15  
2333; Assent I, 2008, IEEE DATA MINING, P719 7 29  
2337; Chandola V, 2008, IEEE DATA MINING, P743 2 32  
2341; Davidson I, 2008, IEEE DATA MINING, P773 6 26  
2344; Fu Q, 2008, IEEE DATA MINING, P791 2 18  
2351; He JR, 2008, IEEE DATA MINING, P833 2 16  
2352; Huang A, 2008, IEEE DATA MINING, P839 3 13  
2367; Masud MM, 2008, IEEE DATA MINING, P929 4 55  
2368; McGovern A, 2008, IEEE DATA MINING, P935 2 14  
2369; Mendes LF, 2008, IEEE DATA MINING, P941 2 18  
2376; Read J, 2008, IEEE DATA MINING, P995 2 128  
2384; Tang J, 2008, IEEE DATA MINING, P1055 4 68  
2392; Xu YB, 2008, IEEE DATA MINING, P1109 3 16  
2460; Hay M, 2009, IEEE DATA MINING, P169 3 72  
2461; Hido S, 2009, IEEE DATA MINING, P179 3 28  
2465; Kang U, 2009, IEEE DATA MINING, P229 7 192  
2477; Matsubara Y, 2009, IEEE DATA MINING, P347 2 6  
2478; Min RQ, 2009, IEEE DATA MINING, P357 3 12  
2480; Muller E, 2009, IEEE DATA MINING, P377 6 30  
2491; Sun YZ, 2009, IEEE DATA MINING, P493 4 45  
2493; Tatti N, 2009, IEEE DATA MINING, P513 2 11  
2503; Zhang P, 2009, IEEE DATA MINING, P627 2 32  
2511; Bayati M, 2009, IEEE DATA MINING, P705 2 32  
2518; Chen X, 2009, IEEE DATA MINING, P746 2 81  
2533; Lelis L, 2009, IEEE DATA MINING, P842 2 32  
2548; Robardet C, 2009, IEEE DATA MINING, P950 2 10  
2558; Tang W, 2009, IEEE DATA MINING, P1016 6 85  
2561; Wang X, 2009, IEEE DATA MINING, P1034 3 13  
2572; Calders T, 2009, INT CONF DAT MIN WOR, P13 4 13  
2586; Jagannathan G, 2009, INT CONF DAT MIN WOR, P114 2 23  
2589; Vu D, 2009, INT CONF DAT MIN WOR, P138 2 8  
2615; Yang SQ, 2009, INT CONF DAT MIN WOR, P332 2 12  
2653; Qin B, 2009, LECT NOTES ARTIF INT, V5476, P4 2 35  
2687; Bunkhumpornpat C, 2009, LECT NOTES ARTIF INT, V5476, P475 2 138  
2702; Huang A, 2009, LECT NOTES ARTIF INT, V5476, P628 2 29  
2716; Zhang K, 2009, LECT NOTES ARTIF INT, V5476, P813 2 86  
2747; Agarwal D, 2009, KDD-09: 15TH ACM SIGKDD CONFE, P19 11 132  
2748; Aggarwal CC, 2009, KDD-09: 15TH ACM SIGKDD CONFE, P29 5 89  
2757; Bernecker T, 2009, KDD-09: 15TH ACM SIGKDD CONFE, P119 6 78  
2759; Bifet A, 2009, KDD-09: 15TH ACM SIGKDD CONFE, P139 8 170  
2761; Bu YY, 2009, KDD-09: 15TH ACM SIGKDD CONFE, P159 2 44  
2765; Chen W, 2009, KDD-09: 15TH ACM SIGKDD CONFE, P199 22 568  
2766; Chen Y, 2009, KDD-09: 15TH ACM SIGKDD CONFE, P209 2 40  
2767; Chierichetti F, 2009, KDD-09: 15TH ACM SIGKDD CONFE, P219 5 84  
2771; Donmez P, 2009, KDD-09: 15TH ACM SIGKDD CONFE, P259 3 57  
2778; Gama J, 2009, KDD-09: 15TH ACM SIGKDD CONFE, P329 5 95  
2779; Gao J, 2009, KDD-09: 15TH ACM SIGKDD CONFE, P339 2 13  
2781; Gu QQ, 2009, KDD-09: 15TH ACM SIGKDD CONFE, P359 5 74  
2782; Guo L, 2009, KDD-09: 15TH ACM SIGKDD CONFE, P369 2 58  
2784; Hu XH, 2009, KDD-09: 15TH ACM SIGKDD CONFE, P389 5 97  
2785; Jamali M, 2009, KDD-09: 15TH ACM SIGKDD CONFE, P397 7 276  
2790; Koren Y, 2009, KDD-09: 15TH ACM SIGKDD CONFE, P447 15 135  
2791; Kulkarni S, 2009, KDD-09: 15TH ACM SIGKDD CONFE, P457 3 81  
2792; Lappas T, 2009, KDD-09: 15TH ACM SIGKDD CONFE, P467 5 172  
2795; Leskovec J, 2009, KDD-09: 15TH ACM SIGKDD CONFE, P497 10 344  
2796; Li L, 2009, KDD-09: 15TH ACM SIGKDD CONFE, P507 3 28  
2798; Lin YR, 2009, KDD-09: 15TH ACM SIGKDD CONFE, P527 4 77  
2800; Liu J, 2009, KDD-09: 15TH ACM SIGKDD CONFE, P547 2 71  
2804; Lozano A, 2009, KDD-09: 15TH ACM SIGKDD CONFE, P587 4 21  
2806; Malmgren RD, 2009, KDD-09: 15TH ACM SIGKDD CONFE, P607 2 17  
2808; McSherry F, 2009, KDD-09: 15TH ACM SIGKDD CONFE, P627 5 161  
2809; Monreale A, 2009, KDD-09: 15TH ACM SIGKDD CONFE, P637 7 169  
2810; Nijssen S, 2009, KDD-09: 15TH ACM SIGKDD CONFE, P647 3 26  
2816; Provost F, 2009, KDD-09: 15TH ACM SIGKDD CONFE, P707 3 28  
2817; Qi ZJ, 2009, KDD-09: 15TH ACM SIGKDD CONFE, P717 6 30  
2818; Rendle S, 2009, KDD-09: 15TH ACM SIGKDD CONFE, P727 7 97  
2821; Shen BH, 2009, KDD-09: 15TH ACM SIGKDD CONFE, P757 4 19  
2825; Sun YZ, 2009, KDD-09: 15TH ACM SIGKDD CONFE, P797 9 133  
2826; Tang J, 2009, KDD-09: 15TH ACM SIGKDD CONFE, P807 12 269  
2827; Tang L, 2009, KDD-09: 15TH ACM SIGKDD CONFE, P817 9 125  
2829; Tsourakakis CE, 2009, KDD-09: 15TH ACM SIGKDD CONFE, P837 5 82  
2836; Yan DH, 2009, KDD-09: 15TH ACM SIGKDD CONFE, P907 3 125  
2837; Yang BS, 2009, KDD-09: 15TH ACM SIGKDD CONFE, P917 2 34  
2838; Yang TB, 2009, KDD-09: 15TH ACM SIGKDD CONFE, P927 7 102  
2839; Yao LM, 2009, KDD-09: 15TH ACM SIGKDD CONFE, P937 5 69  
2840; Ye LX, 2009, KDD-09: 15TH ACM SIGKDD CONFE, P947 17 202  
2841; Yin ZJ, 2009, KDD-09: 15TH ACM SIGKDD CONFE, P957 2 27  
2845; Zhang YZ, 2009, KDD-09: 15TH ACM SIGKDD CONFE, P997 2 49  
2846; Zheleva E, 2009, KDD-09: 15TH ACM SIGKDD CONFE, P1007 3 32  
2857; Daruru S, 2009, KDD-09: 15TH ACM SIGKDD CONFE, P1115 2 10  
2864; Hirose S, 2009, KDD-09: 15TH ACM SIGKDD CONFE, P1185 3 14  
2865; Jin W, 2009, KDD-09: 15TH ACM SIGKDD CONFE, P1195 3 81  
2870; Ma J, 2009, KDD-09: 15TH ACM SIGKDD CONFE, P1245 2 161  
2872; McGlohon M, 2009, KDD-09: 15TH ACM SIGKDD CONFE, P1265 3 16  
2873; Melville P, 2009, KDD-09: 15TH ACM SIGKDD CONFE, P1275 2 117  
2879; Sun L, 2009, KDD-09: 15TH ACM SIGKDD CONFE, P1335 2 20  
2901; Tseng VS, 2009, EXPERT SYST APPL, V36, P9524 2 29  
2963; Calders T, 2010, LECT NOTES ARTIF INT, V6118, P480 3 23  
3004; Akoglu L, 2010, LECT NOTES ARTIF INT, V6119, P410 11 88  
3006; Prakash BA, 2010, LECT NOTES ARTIF INT, V6119, P435 6 27  
3186; Tomasev N, 2011, LECT NOTES ARTIF INT, V6634, P183 2 16  
3233; Muzammal M, 2011, LECT NOTES ARTIF INT, V6635, P210 3 13  
3265; Tang J, 2011, MACH LEARN, V82, P211 2 37  
3267; Acs G, 2012, IEEE DATA MINING, P1 4 27  
3268; Prakash BA, 2012, IEEE DATA MINING, P11 3 64  
3271; Azmandian F, 2012, IEEE DATA MINING, P51 2 10  
3274; Barbieri N, 2012, IEEE DATA MINING, P81 6 54  
3276; Bi W, 2012, IEEE DATA MINING, P101 2 9  
3280; Chawla S, 2012, IEEE DATA MINING, P141 4 70  
3281; Chitta R, 2012, IEEE DATA MINING, P161 2 22  
3283; Dong YX, 2012, IEEE DATA MINING, P181 3 90  
3299; Kim H, 2012, IEEE DATA MINING, P349 3 10  
3304; Li B, 2012, IEEE DATA MINING, P399 4 18  
3308; Liu B, 2012, IEEE DATA MINING, P439 2 48  
3310; Liu L, 2012, IEEE DATA MINING, P459 3 20  
3315; Maserrat H, 2012, IEEE DATA MINING, P509 2 5  
3317; Muller E, 2012, IEEE DATA MINING, P529 2 19  
3318; Myers SA, 2012, IEEE DATA MINING, P539 2 49  
3324; Pan B, 2012, IEEE DATA MINING, P595 5 30  
3341; Yu HF, 2012, IEEE DATA MINING, P765 4 74  
3343; Zakaria J, 2012, IEEE DATA MINING, P785 2 48  
3353; Fang M, 2012, IEEE DATA MINING, P858 2 15  
3362; Jung K, 2012, IEEE DATA MINING, P918 12 107  
3363; Kamiran F, 2012, IEEE DATA MINING, P924 4 12  
3372; Liu JQ, 2012, IEEE DATA MINING, P984 4 58  
3380; Noulas A, 2012, IEEE DATA MINING, P1038 2 100  
3401; Yi JF, 2012, IEEE DATA MINING, P1176 2 23  
3404; Zhang XC, 2012, IEEE DATA MINING, P1194 4 41  
3407; Zhu HS, 2012, IEEE DATA MINING, P1212 2 19  
3479; Poria S, 2012, INT CONF DAT MIN WOR, P709 3 26  
3499; Liao ZX, 2012, INT CONF DAT MIN WOR, P890 2 13  
3620; Adcock AB, 2013, IEEE DATA MINING, P1 2 27  
3639; Ghalwash MF, 2013, IEEE DATA MINING, P201 2 14  
3642; Gunnemann S, 2013, IEEE DATA MINING, P231 3 18  
3647; Hu B, 2013, IEEE DATA MINING, P281 2 12  
3657; Koutra D, 2013, IEEE DATA MINING, P389 2 21  
3661; Li YX, 2013, IEEE DATA MINING, P448 7 21  
3671; Mueen A, 2013, IEEE DATA MINING, P547 5 25  
3673; Nguyen DT, 2013, IEEE DATA MINING, P567 2 12  
3675; Pan B, 2013, IEEE DATA MINING, P587 2 17  
3677; Qian BY, 2013, IEEE DATA MINING, P607 2 9  
3685; Speakman S, 2013, IEEE DATA MINING, P697 2 8  
3689; Vinzamuri B, 2013, IEEE DATA MINING, P757 4 17  
3701; Zhou C, 2013, IEEE DATA MINING, P907 2 32  
3707; Barbieri N, 2013, IEEE DATA MINING, P955 2 14  
3713; Chen ZT, 2013, IEEE DATA MINING, P1003 2 6  
3722; Fu B, 2013, IEEE DATA MINING, P1061 2 4  
3724; Hu B, 2013, IEEE DATA MINING, P1073 3 29  
3725; Huang SJ, 2013, IEEE DATA MINING, P1079 2 16  
3728; Kwon S, 2013, IEEE DATA MINING, P1103 3 75  
3730; Liang ZH, 2013, IEEE DATA MINING, P1121 2 6  
3732; Liu HF, 2013, IEEE DATA MINING, P1133 2 7  
3734; Yang J, 2013, IEEE DATA MINING, P1151 7 165  
3737; Senin P, 2013, IEEE DATA MINING, P1175 2 42  
3739; Sparks ER, 2013, IEEE DATA MINING, P1187 2 35  
3750; Yingchareonthawornchai S, 2013, IEEE DATA MINING, P1265 2 15  
3751; Yu WR, 2013, IEEE DATA MINING, P1271 2 11  
3752; Zeng GX, 2013, IEEE DATA MINING, P1277 2 7  
3754; Zhang JW, 2013, IEEE DATA MINING, P1289 2 30  
3761; Banda JM, 2013, INT CONF DAT MIN WOR, P1 3 9  
3880; Banerjee P, 2014, IEEE DATA MINING, P30 3 10  
3881; Cao BK, 2014, IEEE DATA MINING, P40 4 20  
3882; Cao BK, 2014, IEEE DATA MINING, P50 2 20  
3883; Chang SY, 2014, IEEE DATA MINING, P60 2 7  
3888; Fu YJ, 2014, IEEE DATA MINING, P120 3 23  
3918; Petitjean F, 2014, IEEE DATA MINING, P470 2 51  
3929; Wu K, 2014, IEEE DATA MINING, P600 2 14  
3951; Duivesteijn W, 2014, IEEE DATA MINING, P809 2 7  
3961; Kriege N, 2014, IEEE DATA MINING, P881 4 6  
3967; Luo C, 2014, IEEE DATA MINING, P917 2 23  
3981; Wang F, 2014, IEEE DATA MINING, P1013 2 14  
3992; Yang P, 2014, IEEE DATA MINING, P1079 2 4  
3996; Zhao HK, 2014, IEEE DATA MINING, P1109 2 12  
4245; Faleiro JM, 2014, SIGMOD'14: PROCEEDINGS OF THE, P15 2 7  
4248; Liu SY, 2014, SIGMOD'14: PROCEEDINGS OF THE, P51 2 60  
4250; Tang YZ, 2014, SIGMOD'14: PROCEEDINGS OF THE, P75 11 123  
4252; Shi JM, 2014, SIGMOD'14: PROCEEDINGS OF THE, P99 2 19  
4254; Chen ZT, 2014, SIGMOD'14: PROCEEDINGS OF THE, P123 2 13  
4256; Toshniwa A, 2014, SIGMOD'14: PROCEEDINGS OF THE, P147 9 231  
4257; Yang FJ, 2014, SIGMOD'14: PROCEEDINGS OF THE, P157 4 33  
4259; Taft R, 2014, SIGMOD'14: PROCEEDINGS OF THE, P177 2 11  
4261; Matsubara Y, 2014, SIGMOD'14: PROCEEDINGS OF THE, P193 3 18  
4267; Zhang C, 2014, SIGMOD'14: PROCEEDINGS OF THE, P265 2 11  
4268; Zeng K, 2014, SIGMOD'14: PROCEEDINGS OF THE, P277 4 21  
4270; Fan WF, 2014, SIGMOD'14: PROCEEDINGS OF THE, P301 2 15  
4271; Zou L, 2014, SIGMOD'14: PROCEEDINGS OF THE, P313 2 36  
4272; Kusumoto M, 2014, SIGMOD'14: PROCEEDINGS OF THE, P325 3 26  
4273; Soliman MA, 2014, SIGMOD'14: PROCEEDINGS OF THE, P337 2 8  
4279; Duggan J, 2014, SIGMOD'14: PROCEEDINGS OF THE, P409 2 6  
4281; Pochampally R, 2014, SIGMOD'14: PROCEEDINGS OF THE, P433 3 25  
4282; Chalamalla A, 2014, SIGMOD'14: PROCEEDINGS OF THE, P445 2 16  
4284; Wang JN, 2014, SIGMOD'14: PROCEEDINGS OF THE, P469 4 22  
4285; Agarwal S, 2014, SIGMOD'14: PROCEEDINGS OF THE, P481 4 21  
4286; Shen YY, 2014, SIGMOD'14: PROCEEDINGS OF THE, P493 3 14  
4287; Kalinin A, 2014, SIGMOD'14: PROCEEDINGS OF THE, P505 3 17  
4288; Dimitriadou K, 2014, SIGMOD'14: PROCEEDINGS OF THE, P517 2 13  
4289; Kang WH, 2014, SIGMOD'14: PROCEEDINGS OF THE, P529 2 14  
4294; Park H, 2014, SIGMOD'14: PROCEEDINGS OF THE, P577 4 15  
4295; Amsterdamer Y, 2014, SIGMOD'14: PROCEEDINGS OF THE, P589 3 12  
4296; Gokhale C, 2014, SIGMOD'14: PROCEEDINGS OF THE, P601 8 37  
4298; Shao YX, 2014, SIGMOD'14: PROCEEDINGS OF THE, P625 2 18  
4299; Kim J, 2014, SIGMOD'14: PROCEEDINGS OF THE, P637 3 14  
4300; Chen Y, 2014, SIGMOD'14: PROCEEDINGS OF THE, P649 3 14  
4301; Xiao DQ, 2014, SIGMOD'14: PROCEEDINGS OF THE, P661 2 4  
4302; Deng D, 2014, SIGMOD'14: PROCEEDINGS OF THE, P673 4 18  
4305; Karnagel T, 2014, SIGMOD'14: PROCEEDINGS OF THE, P693 3 4  
4309; Li F, 2014, SIGMOD'14: PROCEEDINGS OF THE, P709 2 13  
4315; Leis V, 2014, SIGMOD'14: PROCEEDINGS OF THE, P743 9 35  
4316; Polychroniou O, 2014, SIGMOD'14: PROCEEDINGS OF THE, P755 4 17  
4322; Qin L, 2014, SIGMOD'14: PROCEEDINGS OF THE, P827 3 28  
4326; Halperin D, 2014, SIGMOD'14: PROCEEDINGS OF THE, P881 3 21  
4342; Cui WY, 2014, SIGMOD'14: PROCEEDINGS OF THE, P991 2 36  
4349; Zeng K, 2014, SIGMOD'14: PROCEEDINGS OF THE, P1067 3 6  
4358; Alagiannis I, 2014, SIGMOD'14: PROCEEDINGS OF THE, P1103 6 21  
4359; Sun LW, 2014, SIGMOD'14: PROCEEDINGS OF THE, P1115 4 16  
4360; Gao JY, 2014, SIGMOD'14: PROCEEDINGS OF THE, P1127 3 12  
4361; Wu YB, 2014, SIGMOD'14: PROCEEDINGS OF THE, P1139 4 11  
4363; Ranu S, 2014, SIGMOD'14: PROCEEDINGS OF THE, P1163 2 9  
4365; Li Q, 2014, SIGMOD'14: PROCEEDINGS OF THE, P1187 8 72  
4375; Trummer I, 2014, SIGMOD'14: PROCEEDINGS OF THE, P1299 2 8  
4376; Huang X, 2014, SIGMOD'14: PROCEEDINGS OF THE, P1311 8 51  
4377; Zhu AD, 2014, SIGMOD'14: PROCEEDINGS OF THE, P1323 2 18  
4379; Sricharan K, 2014, SIGMOD'14: PROCEEDINGS OF THE, P1347 3 16  
4381; Cai ZH, 2014, SIGMOD'14: PROCEEDINGS OF THE, P1371 3 11  
4386; Bender G, 2014, SIGMOD'14: PROCEEDINGS OF THE, P1411 3 7  
4387; Zhang J, 2014, SIGMOD'14: PROCEEDINGS OF THE, P1423 2 45  
4389; He X, 2014, SIGMOD'14: PROCEEDINGS OF THE, P1447 4 26  
4392; Polychroniou O, 2014, SIGMOD'14: PROCEEDINGS OF THE, P1483 4 20  
4397; Yin HZ, 2014, SIGMOD'14: PROCEEDINGS OF THE, P1543 5 63  
4398; Zoumpatianos K, 2014, SIGMOD'14: PROCEEDINGS OF THE, P1555 3 18  
4400; Roy S, 2014, SIGMOD'14: PROCEEDINGS OF THE, P1579 3 19  
4401; LeFevre J, 2014, SIGMOD'14: PROCEEDINGS OF THE, P1591 2 29  
4496; Hu JH, 2015, IEEE DATA MINING, P171 2 5  
4503; Lian DF, 2015, IEEE DATA MINING, P261 3 28  
4505; Liu Q, 2015, IEEE DATA MINING, P281 3 9  
4527; Yu LY, 2015, IEEE DATA MINING, P559 5 15  
4531; Zhang L, 2015, IEEE DATA MINING, P609 4 6  
4534; Zhao L, 2015, IEEE DATA MINING, P639 2 11  
4543; Chen C, 2015, IEEE DATA MINING, P715 2 6  
4544; Choi E, 2015, IEEE DATA MINING, P721 2 12  
4552; He K, 2015, IEEE DATA MINING, P769 2 12  
4554; Jiang M, 2015, IEEE DATA MINING, P781 2 15  
4567; Liu JM, 2015, IEEE DATA MINING, P883 3 16  
4587; Wang CG, 2015, IEEE DATA MINING, P1015 4 17  
4649; Aydin B, 2015, 2015 IEEE INTERNATIONAL CONFE, P575 2 7  
4654; Pang GS, 2015, 2015 IEEE INTERNATIONAL CONFE, P623 2 4  
4728; Kumar J, 2015, 2015 IEEE INTERNATIONAL CONFE, P1478 2 3  
4827; Li ZX, 2015, LECT NOTES ARTIF INT, V9078, P177 2 7  
4851; Shao WX, 2015, LECT NOTES ARTIF INT, V9078, P485 2 6  
4857; Wang Q, 2015, LECT NOTES ARTIF INT, V9078, P562 3 4  
5280; Feng ZQ, 2015, SIGMOD'15: PROCEEDINGS OF THE, P31 3 8  
5281; Alexandrov A, 2015, SIGMOD'15: PROCEEDINGS OF THE, P47 2 19  
5282; Chu S, 2015, SIGMOD'15: PROCEEDINGS OF THE, P63 4 31  
5285; Teflioudi C, 2015, SIGMOD'15: PROCEEDINGS OF THE, P107 6 15  
5293; Huang YX, 2015, SIGMOD'15: PROCEEDINGS OF THE, P227 3 22  
5294; Kulkarni S, 2015, SIGMOD'15: PROCEEDINGS OF THE, P239 6 102  
5297; Idreos S, 2015, SIGMOD'15: PROCEEDINGS OF THE, P277 3 31  
5307; Guo T, 2015, SIGMOD'15: PROCEEDINGS OF THE, P405 2 19  
5309; Berlowitz D, 2015, SIGMOD'15: PROCEEDINGS OF THE, P431 3 2  
5315; Gan JH, 2015, SIGMOD'15: PROCEEDINGS OF THE, P519 3 50  
5322; Erling O, 2015, SIGMOD'15: PROCEEDINGS OF THE, P619 3 28  
5328; Neumann T, 2015, SIGMOD'15: PROCEEDINGS OF THE, P677 6 27  
5329; Kimura H, 2015, SIGMOD'15: PROCEEDINGS OF THE, P691 4 35  
5330; Arulraj J, 2015, SIGMOD'15: PROCEEDINGS OF THE, P707 2 36  
5331; Zhang J, 2015, SIGMOD'15: PROCEEDINGS OF THE, P731 2 14  
5332; Yang B, 2015, SIGMOD'15: PROCEEDINGS OF THE, P747 2 20  
5335; Wei ZW, 2015, SIGMOD'15: PROCEEDINGS OF THE, P795 2 6  
5337; Song SX, 2015, SIGMOD'15: PROCEEDINGS OF THE, P827 2 10  
5343; Morcos J, 2015, SIGMOD'15: PROCEEDINGS OF THE, P883 2 4  
5348; Zeng K, 2015, SIGMOD'15: PROCEEDINGS OF THE, P913 5 17  
5356; Fan J, 2015, SIGMOD'15: PROCEEDINGS OF THE, P1015 8 50  
5357; Zheng YD, 2015, SIGMOD'15: PROCEEDINGS OF THE, P1031 5 56  
5365; Wang HZ, 2015, SIGMOD'15: PROCEEDINGS OF THE, P1099 2 8  
5371; Petraki E, 2015, SIGMOD'15: PROCEEDINGS OF THE, P1153 2 9  
5372; Mozafari B, 2015, SIGMOD'15: PROCEEDINGS OF THE, P1167 2 4  
5375; Khayyat Z, 2015, SIGMOD'15: PROCEEDINGS OF THE, P1215 2 23  
5376; Wang X, 2015, SIGMOD'15: PROCEEDINGS OF THE, P1231 2 14  
5377; Chu X, 2015, SIGMOD'15: PROCEEDINGS OF THE, P1247 4 37  
5378; Wang SB, 2015, SIGMOD'15: PROCEEDINGS OF THE, P1263 3 13  
5384; Saha B, 2015, SIGMOD'15: PROCEEDINGS OF THE, P1357 2 36  
5385; Aref M, 2015, SIGMOD'15: PROCEEDINGS OF THE, P1371 3 31  
5386; Armbrust M, 2015, SIGMOD'15: PROCEEDINGS OF THE, P1383 20 231  
5397; Barthels C, 2015, SIGMOD'15: PROCEEDINGS OF THE, P1463 2 9  
5399; Polychroniou O, 2015, SIGMOD'15: PROCEEDINGS OF THE, P1493 4 26  
5402; Tang YZ, 2015, SIGMOD'15: PROCEEDINGS OF THE, P1539 8 97  
5404; Shin KJ, 2015, SIGMOD'15: PROCEEDINGS OF THE, P1571 7 16  
5409; Zhou XM, 2015, SIGMOD'15: PROCEEDINGS OF THE, P1645 2 10  
5413; Terlecki P, 2015, SIGMOD'15: PROCEEDINGS OF THE, P1695 2 6  
5414; Viglas SD, 2015, SIGMOD'15: PROCEEDINGS OF THE, P1707 2 6  
5415; Chu X, 2015, SIGMOD'15: PROCEEDINGS OF THE, P1713 2 9  
5416; Liu JL, 2015, SIGMOD'15: PROCEEDINGS OF THE, P1729 4 30  
5417; Trummer I, 2015, SIGMOD'15: PROCEEDINGS OF THE, P1745 2 5  
5424; Paparrizos J, 2015, SIGMOD'15: PROCEEDINGS OF THE, P1855 2 44  
5425; Zhou JB, 2015, SIGMOD'15: PROCEEDINGS OF THE, P1871 4 9  
5430; Trummer I, 2015, SIGMOD'15: PROCEEDINGS OF THE, P1941 3 9  
5432; Kumar A, 2015, SIGMOD'15: PROCEEDINGS OF THE, P1969 4 14  
5480; Baytas IM, 2016, IEEE DATA MINING, P11 2 6  
5481; Bendimerad AA, 2016, IEEE DATA MINING, P21 2 6  
5482; Budhathoki K, 2016, IEEE DATA MINING, P41 3 5  
5516; Poria S, 2016, IEEE DATA MINING, P439 2 61  
5520; Suh S, 2016, IEEE DATA MINING, P479 2 4  
5522; Wang JY, 2016, IEEE DATA MINING, P499 5 27  
5530; Yu WR, 2016, IEEE DATA MINING, P589 2 5  
5532; Zhang DK, 2016, IEEE DATA MINING, P609 2 14  
5554; Fu YJ, 2016, IEEE DATA MINING, P877 2 3  
5588; Qu YR, 2016, IEEE DATA MINING, P1149 2 13  
5604; Xun GX, 2016, IEEE DATA MINING, P1299 4 8  
5606; Yeh CCM, 2016, IEEE DATA MINING, P1317 3 19  
5615; Zhu Y, 2016, IEEE DATA MINING, P1371 3 6  
5760; Pham T, 2016, LECT NOTES ARTIF INT, V9652, P30 5 29  
6375; Schleich M, 2016, SIGMOD'16: PROCEEDINGS OF THE, P3 3 10  
6377; Huang YX, 2016, SIGMOD'16: PROCEEDINGS OF THE, P35 2 9  
6389; Dageville B, 2016, SIGMOD'16: PROCEEDINGS OF THE, P215 2 7  
6399; Li F, 2016, SIGMOD'16: PROCEEDINGS OF THE, P355 2 9  
6400; Oukid I, 2016, SIGMOD'16: PROCEEDINGS OF THE, P371 4 18  
6405; Kim MS, 2016, SIGMOD'16: PROCEEDINGS OF THE, P447 2 12  
6409; Nikolic M, 2016, SIGMOD'16: PROCEEDINGS OF THE, P511 2 8  
6414; Arulraj J, 2016, SIGMOD'16: PROCEEDINGS OF THE, P583 3 11  
6417; Kandula S, 2016, SIGMOD'16: PROCEEDINGS OF THE, P631 3 9  
6420; Ding BL, 2016, SIGMOD'16: PROCEEDINGS OF THE, P679 2 4  
6421; Nguyen HT, 2016, SIGMOD'16: PROCEEDINGS OF THE, P695 6 37  
